t,B00_A_0000,B00_A_0001,B00_A_0002,B00_A_0003,B00_A_0004,B00_A_0005,B00_A_0006,B00_A_0007,B00_A_0008,B00_A_0009,B00_A_0010,B00_A_0011,B00_A_0012,B00_A_0013,B00_A_0014,B00_A_0015,B00_A_0016,B00_A_0017,B00_A_0018,B00_A_0019,B01_A_0000
0.0,(0.7129861794836659-2.0025886293970313e-15j),(-7.549034811995439e-22+1.3965714402191562e-21j),(-8.728571501369726e-22+2.1703475084486887e-22j),(-3.6235367097578106e-21+9.058841774394527e-22j),(-1.1589859519055921e-16-8.776266303311914e-17j),(-1.5933143854893813e-17-3.123065897861761e-17j),(2.4156911398385404e-21-3.3215753172779932e-21j),(-1.6456895890150058e-20-3.895301962989646e-19j),(1.4191300794034394e-24+6.634893877730366e-25j),(1.6909837978869784e-20-1.9929451903667958e-20j),(4.718146757497149e-22+1.5098069623990878e-22j),(-4.831382279677081e-21-7.247073419515621e-21j),-5.797658735612497e-20j,(2.7176525323183578e-21-1.6607876586389965e-20j),(2.3703969309665677e-20+8.907861078154617e-21j),(3.4536834264879134e-21+2.9252509896482326e-22j),(-1.2078455699192702e-20-3.381967595773957e-20j),(-2.99545701339979e-19-4.952166836669008e-20j),(-3.7745174059977194e-22-9.058841774394527e-22j),(-9.662764559354162e-20-7.730211647483329e-20j),(0.7129861794836683+0j)
0.01,(0.4022383898710994-0.5514784098426373j),(-5.5929948284284144e-08-7.108302461042261e-08j),(1.2046785037966465e-08+2.9258238533555678e-08j),(7.570825604626605e-08+4.4231338103578024e-08j),(-8.296108404205375e-07-2.7633910502462022e-05j),(-9.6232551408758e-05-9.113789179116522e-05j),(-1.4524294183837778e-07+1.1635167956856256e-08j),(6.340419392417991e-06+1.1615900401065998e-06j),(-5.675532717450317e-12+1.1086341111046533e-11j),(-1.25628718280501e-07-9.952671850750678e-07j),(1.9836400705661297e-08-1.832335139266657e-08j),(-2.6874199864697526e-07-1.21645563413979e-07j),(-2.4878029008620945e-07+2.2995955176947455e-07j),(3.50202126100783e-07+1.5439919926734622e-07j),(-3.76890026215315e-07-5.783037276710777e-07j),(-3.26868476191951e-08+4.714704105073927e-08j),(-2.220543055121704e-06-9.906587244118184e-07j),(1.4696020411587025e-05+5.675799890354244e-06j),(3.715601230899068e-08+1.2955607809769627e-07j),(-6.320528320951593e-07+2.5049550323590447e-07j),(0.40226622362353115-0.5515805963834105j)
0.02,(-0.20132542093087935-0.61993326025903j),(-2.1212206789582173e-07-3.876946638574207e-08j),(2.640114233140107e-08+3.51742151982625e-08j),(1.1880585272216866e-07+1.6470081296344532e-08j),(-4.8271410660074786e-05-3.575073779640019e-05j),(-0.000317295697776638+2.7779148927781145e-05j),(-1.5771981884690043e-07+1.8068824989504877e-07j),(9.995739372866333e-06-7.606576863366451e-06j),(-1.5014284816574528e-11+2.3359315707414805e-11j),(-1.3669652754958774e-06-1.2589452283263297e-06j),(3.252739281874824e-08-3.852196032996902e-08j),(-4.3667242624910346e-07+1.7717287413488612e-07j),(2.322302411290962e-07+5.195755183145014e-07j),(7.082156711833433e-07-2.946196745967755e-07j),(-1.0282926789413457e-06-4.126962626983215e-07j),(-1.8051485664794e-08+1.1639136061892121e-07j),(-4.157751585385461e-06-3.9774251061310475e-07j),(2.4991379978734057e-05-4.28153903071974e-06j),(2.3168137072948215e-07+1.1972792708735572e-07j),(-1.918019158726843e-07-8.107968044541325e-09j),(-0.20142711712768263-0.6200916521255555j)
0.03,(-0.5916560379780571-0.18888485289905774j),(-3.20452013379583e-07+2.0026893382320366e-07j),(3.416374155157563e-08+2.8612697337003356e-08j),(1.1555002216066473e-07-2.4003486459863395e-08j),(-9.468167781940095e-05+2.6265790096144502e-05j),(-0.00033276584602399614+0.0004561725969295797j),(1.057692406817861e-08+2.888146342814843e-07j),(1.307101428476857e-06-1.8166748530828072e-05j),(-2.958460774831035e-11+3.708382242533526e-11j),(-2.5485120740586475e-06-1.2639322760009792e-07j),(3.9392072368755796e-08-5.8909737101724595e-08j),(-1.896044249442293e-07+5.383999559646433e-07j),(8.870515629190838e-07+6.97866251692271e-08j),(4.0963288643503933e-07-1.076100915759372e-06j),(-1.2775982964849124e-06+2.950935446615929e-07j),(5.2901730285460115e-08+1.7111971604120864e-07j),(-5.210818000878173e-06+1.098450611029272e-06j),(2.3309366415689958e-05-1.888566503219461e-05j),(3.5071959417907803e-07-1.1773072423512532e-07j),(-5.663944789904764e-07-1.1394154721375758e-06j),(-0.5918957509021519-0.18892661413541062j)
0.04,(-0.4730492547171372+0.35389768799449456j),(-1.4444027944101244e-07+5.56578172923247e-07j),(3.4328045593806114e-08+1.850329428552318e-08j),(8.691697602102556e-08-4.682932882187559e-08j),(-5.4122812574495444e-05+0.00013261617733373727j),(0.00019842034083636124+0.0008522902481895705j),(2.0272217249761483e-07+2.1153794728489187e-07j),(-1.664827795903227e-05-1.635211112305383e-05j),(-5.1321550658654195e-11+5.2355315084566794e-11j),(-2.4649767882075377e-06+1.831537154136884e-06j),(4.1946398382083736e-08-7.859845714376692e-08j),(3.2713871154358e-07+5.475164588663355e-07j),(8.728568031900314e-07-8.94205549884363e-07j),(-6.629477977497371e-07-1.3764840182456086e-06j),(-9.106500618572228e-07+1.0000547385302544e-06j),(1.633643714075791e-07+1.7413405778821303e-07j),(-5.28194016735615e-06+2.8055304218265735e-06j),(1.225188896775528e-05-2.8369870425830702e-05j),(2.0247063064274972e-07-4.0847567848040406e-07j),(-2.3857765983189165e-06-1.5138215396378369e-06j),(-0.473267434671758+0.3540597870802551j)
0.05,(0.014750602107242364+0.5610415829168135j),(4.017683213299335e-07+6.886733984054384e-07j),(2.9484975933716037e-08+9.831251375318265e-09j),(5.5318437284026456e-08-4.894477077204883e-08j),(9.906811397531989e-05+0.00016918183985173326j),(0.0011092765430926607+0.000576173423302483j),(2.4384121597194924e-07+2.9837450850809314e-08j),(-2.7758106472341663e-05+2.9957660294934057e-06j),(-8.252659195520702e-11+6.905348612646425e-11j),(-8.391613623946606e-07+3.3020209005942727e-06j),(4.1620244706455604e-08-9.742535795041955e-08j),(6.988451109035141e-07+1.0832113837621432e-07j),(1.6918718636007206e-08-1.5552824316542773e-06j),(-1.7866644798496793e-06-5.78079170766103e-07j),(-1.7550679488698255e-07+1.2671319736453482e-06j),(2.7405263874099404e-07+1.049062852999433e-07j),(-4.596564317044051e-06+4.23616855519623e-06j),(-1.2624005372443602e-06-2.9176736434534983e-05j),(-1.578638428268397e-07-4.898665871851147e-07j),(-4.292279717891322e-06+1.0876934719801391e-07j),(0.014710197899032747+0.5613178497189517j)
0.06,(0.44372043462047983+0.2947740892813746j),(1.0050281880339909e-06+2.3376805398525383e-07j),(2.2709078920526995e-08+4.215632859984749e-09j),(3.1844404800520244e-08-3.923608884292151e-08j),(0.00025588048973142755+3.0937159703403366e-05j),(0.001562237668071786-0.0006368088590607361j),(1.2593462772257143e-07-6.713096339626214e-08j),(-1.700773068702731e-05+2.7135965485449097e-05j),(-1.255899256428235e-10+8.671127926437234e-11j),(1.4807785602755223e-06+3.2447660715432794e-06j),(3.9448419446415256e-08-1.1569014738511375e-07j),(6.09232890342093e-07-5.034963572677439e-07j),(-1.110981578005423e-06-1.3537703613293017e-06j),(-1.918689901419377e-06+1.034737333870961e-06j),(5.013174070884839e-07+1.0165424925919654e-06j),(3.3816601772061293e-07-2.8481830377310875e-08j),(-3.49197042396879e-06+5.169480751893212e-06j),(-1.1536772392058976e-05-2.323441515547208e-05j),(-4.780968060152607e-07-2.619546907537763e-07j),(-4.44747457293823e-06+3.145609799283513e-06j),(0.4438752772743949+0.29500013087795857j)
0.07,(0.47029630265043193-0.18509374610401355j),(1.0243602877737465e-06-7.458974675682307e-07j),(1.6150077723430786e-08+1.3606636362807594e-09j),(1.7814762142733057e-08-2.657531413268228e-08j),(0.00022873147335620395-0.0002369428228597582j),(0.0006763758716936777-0.0020735646805195088j),(1.4350543139607231e-08+2.4479151988731225e-08j),(1.2770916987920073e-05+3.344954940139582e-05j),(-1.8253134674529304e-10+1.0462456772689559e-10j),(3.176541489963368e-06+1.6204931577732907e-06j),(3.606556685266367e-08-1.339752326390717e-07j),(7.73889103946345e-08-8.737385061485905e-07j),(-1.7717123208839743e-06-4.088100568539846e-07j),(-6.370224229587992e-07+2.3263851184614143e-06j),(8.235506699775695e-07+4.7494700103584297e-07j),(3.210799450289358e-07-1.890183008051772e-07j),(-2.271494094755718e-06+5.590318666842696e-06j),(-1.6391833143741486e-05-1.4599595070717447e-05j),(-5.327111360943442e-07+1.3213674382370696e-07j),(-2.2586992376110535e-06+5.738198753505017e-06j),(0.47055450919543684-0.18502008191880226j)
0.08,(0.1100111150451773-0.4666992065564825j),(3.697876728458447e-08-1.5023752842072231e-06j),(1.0820077590691692e-08+3.0978783445190836e-10j),(1.0401169096885029e-08-1.577193270038888e-08j),(-6.463130196893672e-05-0.0004067135224037464j),(-0.0014343708162983051-0.0023153262393126764j),(1.0012928090525603e-07+2.1383184261005988e-07j),(3.817523177910496e-05+1.0155783567311394e-05j),(-2.5428702275316047e-10+1.2201404492584264e-10j),(3.3616064920446128e-06-6.582963380187611e-07j),(3.172680445453802e-08-1.530360416991701e-07j),(-5.745146739678242e-07-7.538629964758654e-07j),(-1.624367322799775e-06+6.864561988827547e-07j),(1.3253422070534962e-06+2.1817472908191135e-06j),(7.574722755558671e-07-4.4892256348472324e-08j),(2.1708999028471462e-07-3.2320499640837475e-07j),(-1.1419212770956504e-06+5.598892044287334e-06j),(-1.6551010769348732e-05-6.666799738389579e-06j),(-2.972674414194004e-07+4.379919002861618e-07j),(1.2226727235620714e-06+6.303000282543714e-06j),(0.11026949954589477-0.4668011327101865j)
0.09,(-0.3053905846482054-0.3373693534152864j),(-1.4559136264294707e-06-1.0055777786072555e-06j),(6.920560479299199e-09+1.611655152925024e-10j),(6.522978321334532e-09-8.197510727475316e-09j),(-0.0004475054179770288-0.0002364940917856805j),(-0.003267464183501503-0.0004783873690104765j),(4.264625018273841e-07+2.6618892108268125e-07j),(3.306478968620382e-05-2.8170929857152637e-05j),(-3.395887598793837e-10+1.381688271037818e-10j),(2.082192606765544e-06-2.3869492508766127e-06j),(2.6312998443835125e-08-1.7374233364056373e-07j),(-9.584163705358264e-07-2.1807967212148473e-07j),(-8.675457085950745e-07+1.3564629570406096e-06j),(2.526629258649494e-06+5.251025817800643e-07j),(4.655292737729469e-07-3.4192431039629373e-07j),(5.5447059378865717e-08-3.82366761186808e-07j),(-2.0874675930217742e-07+5.3347361771973834e-06j),(-1.3970726999093235e-05-1.0953802587756517e-06j),(5.992989767629922e-08+4.879176251598408e-07j),(4.223551206674822e-06+4.600480431971811e-06j),(-0.3052341927829487-0.33764031571852254j)
0.1,(-0.4282804890217054+0.05804210219886048j),(-1.942157169921294e-06+9.63610808717011e-07j),(4.250833721713231e-09+3.201935176345235e-10j),(4.218231795073899e-09-3.5326767332968263e-09j),(-0.0005543503161685821+0.00026240758120099714j),(-0.0029187128720749135+0.0025898005975338993j),(8.142436755805592e-07-2.6202305412557462e-08j),(-5.591139977442402e-06-4.7673136070289e-05j),(-4.3437100252955975e-10+1.5285498258651116e-10j),(1.6985469961140887e-07-2.815113563917802e-06j),(1.930257503089647e-08-1.969994211652971e-07j),(-8.772014324512193e-07+4.121365278552294e-07j),(1.5975933443411245e-08+1.3909293684015363e-06j),(2.0053909799124513e-06-1.4544692375312132e-06j),(1.5239978829791865e-07-3.909628361164876e-07j),(-1.0884290512122306e-07-3.448261641050121e-07j),(5.018296698815004e-07+4.926937549329276e-06j),(-1.0502172151080638e-05+1.9542370802679645e-06j),(3.251549226588211e-07+2.982517393975041e-07j),(5.484026115821001e-06+1.6585687797819006e-06j),(-0.4283613160499925+0.05767660562594845j)
0.11,(-0.18385099667981686+0.3675070794164812j),(-5.976815741571599e-08+2.882461437138007e-06j),(2.4975107752348604e-09+4.877761733364926e-10j),(2.589907941243286e-09-9.918669202008276e-10j),(-0.00014552109493106409+0.0007193432024101316j),(0.00011771151864308112+0.004507767306160409j),(9.419434197020602e-07-6.672339654882888e-07j),(-4.810278554342357e-05-2.391846194372723e-05j),(-5.282181572907153e-10+1.6751659264064123e-10j),(-1.353251023925579e-06-2.000974252462644e-06j),(9.766539648690183e-09-2.2351868635697534e-07j),(-4.26969940833585e-07+7.956548015180798e-07j),(6.161837944590118e-07+9.596730876164483e-07j),(1.9678010751555021e-07-2.2391037456976627e-06j),(-5.3356193769225695e-08-2.85961516825871e-07j),(-2.1978769900037794e-07-2.2689021433832634e-07j),(1.014701291837564e-06+4.472554533119426e-06j),(-7.312318128778772e-06+3.1046474527177203e-06j),(3.8325753000443193e-07+1.797282793932733e-08j),(4.864344163568036e-06-1.0938859320629873e-06j),(-0.18424277351339555+0.36727340353135807j)
0.12,(0.19120944532658038+0.3413694131976659j),(3.519088594912392e-06+2.1148114846140517e-06j),(1.3765492781984644e-09+5.590239944800458e-10j),(1.360826757209332e-09+1.5708238547347143e-10j),(0.0005789819235205697+0.0006470256755041137j),(0.003992714630600156+0.0031892759313732837j),(5.574789195717242e-07-1.395754589831965e-06j),(-5.265995105133851e-05+3.109128473661812e-05j),(-6.050762800968618e-10+1.865611913094292e-10j),(-1.882780088187679e-06-6.254709664762431e-07j),(-3.656561713037801e-09-2.5391938524024494e-07j),(1.0236067668867049e-07+7.816024354182705e-07j),(7.955924172880132e-07+3.968184951396966e-07j),(-1.3850820251212974e-06-1.316598225395948e-06j),(-1.28317041301407e-07-1.43175465312272e-07j),(-2.41972451371737e-07-7.442634092382033e-08j),(1.374711754731848e-06+4.03286828554158e-06j),(-4.868776037468912e-06+3.136682730308406e-06j),(2.5983149625128e-07-1.931459640516349e-07j),(3.123130366525254e-06-2.705643091437816e-06j),(0.19068800047295806+0.3415512140908966j)
0.13,(0.37190469334644877+0.031228844311701743j),(5.402467800207045e-06-2.585227335235997e-06j),(6.766811436679564e-10+5.290193039407044e-10j),(4.945665618893283e-10+4.72310518658269e-10j),(0.0010124957545523923-9.007257205510144e-05j),(0.005581059190483975-0.001106763531332462j),(-3.354179712579501e-07-1.8125297824394702e-06j),(-3.495537079897984e-06+7.068131574194433e-05j),(-6.465086202225392e-10+2.1719032971333945e-10j),(-1.464706701860364e-06+5.207712461479814e-07j),(-2.2888517211534602e-08-2.8868552849146387e-07j),(4.3127348404791714e-07+4.667358818551322e-07j),(6.590908839354616e-07-3.4130382975185814e-08j),(-1.4695645113232724e-06+3.3887875366265617e-07j),(-1.1542427395680836e-07-3.617500787398529e-08j),(-1.732792052638925e-07+5.4615798685491276e-08j),(1.629354841623957e-06+3.6393277159707327e-06j),(-3.1954722620884456e-06+2.662967927588712e-06j),(6.633690626129607e-08-2.569570152609131e-07j),(1.2401188758033957e-06-3.028596441789231e-06j),(0.371696930432006+0.03185267195429531j)
0.14,(0.2232887750243074-0.2781958066438038j),(1.6467481805720428e-06-8.499293455097253e-06j),(2.552457564281748e-10+4.299694004041934e-10j),(-6.2356912746003595e-12+3.604751875725277e-10j),(0.0006189023780831322-0.0010028521560231814j),(0.0030248357086690722-0.005449761665112408j),(-1.4456195651529554e-06-1.6029946560802236e-06j),(6.618593871542727e-05+4.98758468560572e-05j),(-6.343237166103211e-10+2.6866501515298435e-10j),(-6.004089117730002e-07+9.845021679395493e-07j),(-5.05685607522795e-08-3.279707687794424e-07j),(4.5000531868589414e-07+9.125932833345344e-08j),(4.001539484973624e-07-2.406944550973986e-07j),(-1.8941264675149953e-07+1.1276941243942323e-06j),(-7.048830738889991e-08+1.599143627656837e-08j),(-4.592001166618166e-08+1.1218305761521788e-07j),(1.8214191670941952e-06+3.303366901530033e-06j),(-2.1285481691579744e-06+2.0543110884266136e-06j),(-8.650572668357244e-08-1.928918869444913e-07j),(-1.3086453018304378e-07-2.480461088073264e-06j),(0.22373509744465342-0.27757064933877473j)
0.15,(-0.10212644085794975-0.32613984718588607j),(-7.899604843844399e-06-9.31328237485113e-06j),(1.9251139659568656e-11+2.9906235125014254e-10j),(-1.8043156108174724e-10+1.1165285661241926e-10j),(-0.0004961999366533206-0.001259067409130377j),(-0.0023668816516558807-0.0062939542241433055j),(-2.3250677589597588e-06-7.146884205869601e-07j),(9.288446407970685e-05-2.9902667752766058e-05j),(-5.550685266927424e-10+3.520567224627939e-10j),(1.420222096062549e-07+7.890388397746857e-07j),(-9.021072904246778e-08-3.7128214809904085e-07j),(2.453747610248862e-07-1.2802662269867933e-07j),(1.692040998651568e-07-2.6588377858659667e-07j),(1.0054128728817076e-06+3.174160913444089e-07j),(-3.017309904827158e-08+2.760757206444397e-08j),(8.600409337193238e-08+7.868771550965249e-08j),(1.987055481420143e-06+3.0239616778472447e-06j),(-1.4739007002619096e-06+1.4890518935524668e-06j),(-1.4534737064424188e-07-7.511051343490906e-08j),(-8.106843701728814e-07-1.6196167861582944e-06j),(-0.10124565476393883-0.3261484600964476j)
0.16,(-0.3149155207268779-0.09265123996309536j),(-1.6717639952932043e-05+4.482349161113571e-08j),(-9.243923207478204e-11+1.6604246139293025e-10j),(-1.2311212230390197e-10-8.247174050256852e-11j),(-0.001484370578247056-0.000407767598828509j),(-0.006722366675959648-0.0024316395624342894j),(-2.5801398970957552e-06+6.012323048538982e-07j),(3.608969109420257e-05-0.00010894272101875372j),(-4.0665520356194786e-10+4.813826773655401e-10j),(4.394066230208088e-07+2.8029466654290425e-07j),(-1.463173533036959e-07-4.16995387718508e-07j),(8.470127493618892e-09-1.1558745734595449e-07j),(2.7421742597904632e-08-2.0126025030202942e-07j),(7.06153869297211e-07-1.189883806592898e-06j),(-6.8582293106631815e-09+2.0721116648041106e-08j),(1.678647788631688e-07-2.950357913659968e-08j),(2.1565953968350517e-06+2.792378314067856e-06j),(-1.0742957647580758e-06+1.028745661398898e-06j),(-1.2053695830143475e-07+2.395394404930056e-08j),(-9.485715324816652e-07-8.478021211930267e-07j),(-0.3143656773521272-0.09347773848323425j)
0.17,(-0.2425913207026524+0.20278502835201997j),(-1.4516480299833218e-05+1.6795249800987303e-05j),(-1.213088088184773e-10+5.082183451428303e-11j),(3.23408822675156e-11-1.2497733963816564e-10j),(-0.0013720753475296426+0.0010605466498251647j),(-0.006522450643904127+0.003684677869186191j),(-2.0563840770723164e-06+1.8975932494815603e-06j),(-7.614168447687858e-05-0.00011041832182884574j),(-2.0332972213799155e-10+6.741885271613996e-10j),(3.0413732588081363e-07-1.512962566804329e-07j),(-2.244361714020024e-07-4.6160912677903634e-07j),(-9.782441461377307e-08+5.2012869528538956e-08j),(-3.215113169300013e-08-1.210259113166926e-07j),(-1.0163203491248234e-06-1.6411791124843293e-06j),(2.001866244611992e-09+1.0746428648697322e-08j),(1.6564209062512268e-07-1.6783111770799603e-07j),(2.3553342628296075e-06+2.5944292801585146e-06j),(-8.229041763887354e-07+6.774328118338976e-07j),(-5.748760227457571e-08+6.857187620068475e-08j),(-7.984631793510827e-07-3.2886400451297947e-07j),(-0.24301688343907618+0.20176940533840723j)
0.18,(0.03319175413724853+0.3036518714401313j),(3.802884705546761e-06+2.8419105865269283e-05j),(-9.638742841039887e-11-3.473431724637358e-11j),(1.4326547118771956e-10-1.0261035883545987e-11j),(2.2812566707067976e-05+0.0019344721839114664j),(-0.001520418222181373+0.0075851740777863625j),(-9.050969104932593e-07+2.7293985869418484e-06j),(-0.00015502000870426346-8.801158419644576e-06j),(1.5318371459571107e-11+9.269753874548147e-10j),(-2.687809610686357e-08-2.8699139843484696e-07j),(-3.3145547766620177e-07-4.988746410694851e-07j),(-2.4806685898626903e-08+2.2480669507721583e-07j),(-4.271898262822544e-08-6.047133564371832e-08j),(-2.523365381655983e-06-1.5065443407731042e-07j),(3.2236481041552917e-09+3.9566740021457534e-09j),(7.595266337996942e-08-2.804358076193909e-07j),(2.602869305982041e-06+2.4118272275230023e-06j),(-6.545287480855878e-07+4.1765913103258495e-07j),(-8.511162733696228e-10+6.305048505322261e-08j),(-5.66199952085592e-07-5.318565162391018e-08j),(0.03200846702374781+0.30343343591867233j)
0.19,(0.2628973508792888+0.13608493720353482j),(2.982701052381941e-05+2.0339732358688504e-05j),(-3.8731477896391006e-11-8.360195822173937e-11j),(9.000976295712147e-11+1.801875467094861e-10j),(0.0017184051012663162+0.0012695836229820203j),(0.004817837552881925+0.006224183790571922j),(5.005976102510118e-07+2.8390332711453673e-06j),(-0.00011824891209317603+0.00013271754265553956j),(1.9036840491335246e-10+1.220906722715206e-09j),(-2.9023697138149046e-07-1.400590465053562e-07j),(-4.7497564212958556e-07-5.178419597602587e-07j),(1.622725341998909e-07+2.8041948598407986e-07j),(-3.3712813155778824e-08-2.5259966871956017e-08j),(-2.078176785464354e-06+2.2982440084853374e-06j),(2.0384736104960458e-09+8.382610393072032e-10j),(-6.97604614336835e-08-3.1949317039420053e-07j),(2.9162137646453524e-06+2.2217091218367277e-06j),(-5.323693065276113e-07+2.2830362885170857e-07j),(2.7049936808026438e-08+3.3332381639570355e-08j),(-3.6045142304827315e-07+5.7883615385658346e-08j),(0.26200847194376226+0.13702827118168015j)
0.2,(0.25158486154930887-0.1398352209154517j),(4.317869108003822e-05-1.0425567432800697e-05j),(3.507164486846759e-11-9.047600844829783e-11j),(-1.8857022428174953e-10+2.838497900882518e-10j),(0.002241388317610009-0.0006553224105199828j),(0.007877573758039866+0.00045240416122198184j),(1.7325689529467367e-06+2.233828786028953e-06j),(3.276030347671334e-05+0.0001984625788226062j),(2.547373498044727e-10+1.5321555187587168e-09j),(-3.4232920840096714e-07+1.280865843898074e-07j),(-6.614993701279899e-07-5.002241754042203e-07j),(3.4602589341810066e-07+1.8341534378789502e-07j),(-2.1531402098511442e-08-8.487675668575465e-09j),(4.668844121410325e-07+3.5721443332678943e-06j),(8.656143647718617e-10-9.344879655862291e-11j),(-2.1704329042474378e-07-2.6629557733283836e-07j),(3.309963349466898e-06+1.994351858167773e-06j),(-4.3657866217456563e-07+9.083622667524713e-08j),(2.773686942352057e-08+5.013457648751607e-09j),(-2.143066088526388e-07+8.204912245156859e-08j),(0.2519220720820346-0.13849943831010875j)
0.21,(0.021881057030786445-0.2799626701668173j),(2.569650445874447e-05-4.696445181190957e-05j),(1.0907060257605636e-10-4.916116318533484e-11j),(-6.531733705093818e-10+6.48570561953506e-11j),(0.0009074718770996504-0.002356717509943477j),(0.005454653669839429-0.0055697195737823245j),(2.46652495973059e-06+1.1442160997823927e-06j),(0.00019507153446731026+0.00011226665058612698j),(1.408005180661783e-10+1.8328494527727495e-09j),(-1.9290265538956528e-07+3.385929952296637e-07j),(-8.926908122149492e-07-4.1750593473380206e-07j),(4.290560697250759e-07-1.662204084942051e-08j),(-1.2165754578683497e-08-1.893648702281562e-09j),(3.3351397040531764e-06+2.243334478534897e-06j),(2.5454008676002595e-10-1.7745993175520715e-10j),(-3.1207225512417036e-07-1.388848180229632e-07j),(3.7943276118382748e-06+1.690354501048053e-06j),(-3.566543018943631e-07-9.156052495025122e-09j),(1.518549132403362e-08-9.332326330712828e-09j),(-1.2282901774601138e-07+7.098613930290154e-08j),(0.02325595570344889-0.279513563506971j)
0.22,(-0.21669974483819743-0.1691860330061125j),(-2.0586121309110986e-05-5.9907855961529365e-05j),(1.6287919254726518e-10+4.921465054703045e-11j),(-1.1134136672274196e-09-7.828661618938456e-10j),(-0.0014101790233277268-0.0023038340256563705j),(-0.0005837628996403558-0.007571090957353419j),(2.57087579575397e-06-9.039980119486489e-08j),(0.0002334951180735308-8.720066387536827e-05j),(-2.0970592501418802e-10+2.089482815176946e-09j),(4.7885444543656746e-08+3.8905852751562386e-07j),(-1.1582253363829213e-06-2.2849246845521897e-07j),(3.7685026833267035e-07-2.2826887527953383e-07j),(-6.346282667987311e-09+1.3180959886697562e-10j),(4.211350001017699e-06-1.0565158697951003e-06j),(4.299085605887697e-11-8.830187797060806e-11j),(-3.240825783489208e-07+1.7241758801477727e-08j),(4.370772826068779e-06+1.257832135945054e-06j),(-2.8694981999718726e-07-8.238658098861218e-08j),(2.8365371478870094e-09-1.0463106711647496e-08j),(-6.976247645390585e-08+5.130555964411086e-08j),(-0.21554852812879802-0.17014934382886357j)
0.23,(-0.2561116647855467+0.08581284271157769j),(-6.762362018853468e-05-2.942404087424009e-05j),(1.6402090044813448e-10+2.172653253969956e-10j),(-1.164240576701986e-09-2.6610245800974002e-09j),(-0.002839734809724302-0.00030422482047954386j),(-0.0058378868343295694-0.004374787477338221j),(2.110055026965251e-06-1.148354034977148e-06j),(9.089023882394398e-05-0.0002579207217631783j),(-8.353301955295383e-10+2.258106570834382e-09j),(2.52308773364139e-07+2.7965567760638093e-07j),(-1.4236374238260487e-06+1.2042962213660082e-07j),(2.1954941734966794e-07-3.696950112569943e-07j),(-3.124585295811821e-09+4.784631928678604e-10j),(2.1803607689588797e-06-4.020013448572278e-06j),(-1.8399346671025437e-12-2.698561572221836e-11j),(-2.560934307886088e-07+1.5003540509492944e-07j),(5.024558464509181e-06+6.307868476343339e-07j),(-2.241817882401834e-07-1.3676072112172926e-07j),(-3.1593980514139472e-09-5.4911155688296506e-09j),(-4.0121474426627524e-08+3.360670135369335e-08j),(-0.2563317072954186+0.08428776447660517j)
0.24,(-0.06875988499372805+0.25729047385071824j),(-7.742793629306245e-05+3.414749692556285e-05j),(5.5397686556299453e-11+4.723090154925946e-10j),(-1.0642427685771019e-10-6.178042296490532e-09j),(-0.00206513407903038+0.0021522718825896245j),(-0.006768995634299832+0.0014176132599078464j),(1.2816232515338765e-06-1.816306848122682e-06j),(-0.0001505857175333467-0.00025673104240183373j),(-1.750912543560379e-09+2.2944524322142905e-09j),(3.391554648231701e-07+8.340213043378298e-08j),(-1.6124165501121172e-06+6.871263025285876e-07j),(2.386148990839047e-08-4.0202717584448987e-07j),(-1.4640528228047338e-09+3.587539798221495e-10j),(-1.4834588471828911e-06-4.4850478751938515e-06j),(-3.6249508053933463e-12-5.215436951087311e-12j),(-1.3968352261729263e-07+2.227299548494081e-07j),(5.714462719879991e-06-2.701363180829872e-07j),(-1.661043726393886e-07-1.7819441501713093e-07j),(-3.467735760278112e-09-7.829274337248675e-10j),(-2.365354190329775e-08+2.058385555828133e-08j),(-0.07019853851668055+0.25667381698185615j)
0.25,(0.17480533362060052+0.19720618603579806j),(-3.144131769201577e-05+9.063448636346311e-05j),(-2.6644722841033615e-10+8.393698226542892e-10j),(3.120923648462171e-09-1.2450829623910558e-08j),(0.00044813150258619244+0.0030422644622343474j),(-0.0031964713278912647+0.00562872055478713j),(3.2858966867257197e-07-2.019164001211038e-06j),(-0.00031687742155799556-5.653583410962993e-05j),(-2.9294813175974e-09+2.189518941730293e-09j),(2.96912428480788e-07-1.0691269026859805e-07j),(-1.5817394001938975e-06+1.5065519977970073e-06j),(-1.4330956381627825e-07-3.345572722219899e-07j),(-6.535752244139398e-10+1.888642025440543e-10j),(-4.339806884416445e-06-2.0813058778955814e-06j),(-1.158720656648647e-12-4.888777160649692e-13j),(-1.7612455260945045e-08+2.265615171929066e-07j),(6.35761088781221e-06-1.537041229593379e-06j),(-1.1086044742524586e-07-2.1127166199915514e-07j),(-1.521704035405324e-09+1.1657848106927075e-09j),(-1.4350372375798643e-08+1.1882251900953037e-08j),(0.17352628171514112+0.19812528003298902j)
